City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kavieng,PG,-2.5744,150.7967,82.53,70,72,14.23,broken clouds
80,Bellary,IN,15.15,76.9333,84.88,56,100,15.26,overcast clouds
81,Mildura,AU,-34.2,142.15,44.08,91,22,4.97,few clouds
82,Punta Arenas,CL,-53.15,-70.9167,39.31,56,40,17.27,scattered clouds
83,Noshiro,JP,40.2039,140.0242,59.95,96,57,5.28,broken clouds
84,Salisbury,GB,51.0693,-1.7957,80.69,67,19,9.15,few clouds
85,Qaanaaq,GL,77.484,-69.3632,39.88,82,6,3.78,clear sky
86,Bluff,NZ,-46.6,168.3333,47.52,78,65,16.82,broken clouds
87,Rabo De Peixe,PT,37.8,-25.5833,71.11,73,75,10.36,broken clouds
88,Srikakulam,IN,18.3,83.9,83.5,81,100,11.72,overcast clouds
89,Chuy,UY,-33.6971,-53.4616,60.69,45,99,15.1,overcast clouds
90,Urumqi,CN,43.801,87.6005,74.35,36,0,4.47,clear sky
91,Lidzbark Warminski,PL,54.1259,20.5795,60.87,83,9,6.44,clear sky
92,Kalmunai,LK,7.4167,81.8167,79.09,81,99,12.3,heavy intensity rain
93,Port Lincoln,AU,-34.7333,135.8667,53.8,68,0,12.01,clear sky
94,Loja,EC,-3.9931,-79.2042,67.41,50,40,4.61,scattered clouds
95,Codrington,AU,-38.2667,141.9667,47.79,90,6,4.88,clear sky
96,Atuona,PF,-9.8,-139.0333,78.46,65,1,18.66,clear sky
97,Constitucion,CL,-35.3333,-72.4167,56.88,56,10,10.65,clear sky
98,Danao,PH,10.5208,124.0272,80.65,82,8,4.43,clear sky
99,Fortuna,US,40.5982,-124.1573,62.91,63,75,4.61,broken clouds
100,Belaya Gora,RU,68.5333,146.4167,43.56,65,100,9.53,overcast clouds
101,San Juan,AR,-31.5375,-68.5364,65.64,15,1,9.8,clear sky
102,Bosaso,SO,11.2842,49.1816,91.35,49,20,5.21,few clouds
103,Upernavik,GL,72.7868,-56.1549,35.49,87,61,8.72,broken clouds
104,Darovskoy,RU,58.77,47.9564,56.14,86,50,4.5,scattered clouds
105,Palmas,BR,-10.2128,-48.3603,89.47,43,20,8.05,few clouds
106,Kibre Mengist,ET,5.8833,38.9833,60.39,92,99,2.13,light rain
107,Cochrane,CA,51.1834,-114.4687,67.6,62,100,6.91,overcast clouds
108,Hobart,AU,-42.8794,147.3294,48.25,97,100,3.44,moderate rain
109,Srednekolymsk,RU,67.45,153.6833,56.28,36,64,3.6,broken clouds
110,Parrsboro,CA,45.4001,-64.332,66.76,70,100,1.99,overcast clouds
111,Nago,JP,26.5881,127.9761,75.45,91,100,7.07,overcast clouds
112,Riyadh,SA,24.6877,46.7219,102.34,11,7,11.12,clear sky
113,Helena,US,46.5927,-112.0361,92.17,44,1,7.0,clear sky
114,Kiunga,PG,-6.1219,141.2906,72.12,100,76,1.03,broken clouds
115,The Valley,AI,18.217,-63.0578,85.86,74,40,10.36,scattered clouds
116,Colac,AU,-38.3333,143.5833,50.16,93,19,1.54,few clouds
117,Karratha,AU,-20.7377,116.8463,75.52,76,90,8.3,overcast clouds
118,Deputatskiy,RU,69.3,139.9,35.78,77,15,3.31,few clouds
119,Saint Anthony,US,45.0205,-93.218,81.79,41,0,4.0,clear sky
120,Isangel,VU,-19.55,169.2667,77.5,89,100,7.27,overcast clouds
121,Nome,US,64.5011,-165.4064,57.27,51,75,3.44,broken clouds
122,Poum,NC,-20.2333,164.0167,76.23,82,100,9.26,overcast clouds
123,Adrar,MR,20.5022,-10.0711,98.38,22,46,23.13,scattered clouds
124,Grindavik,IS,63.8424,-22.4338,53.55,87,75,26.46,broken clouds
125,Nochistlan,MX,21.3667,-102.85,74.21,41,68,5.44,broken clouds
126,Harper,LR,4.375,-7.7169,79.09,70,73,13.18,broken clouds
127,Pangai,TO,-19.8,-174.35,78.91,83,40,13.8,scattered clouds
128,East London,ZA,-33.0153,27.9116,61.74,51,0,6.91,clear sky
129,San Jeronimo,PE,-11.9472,-75.2829,62.46,30,1,2.98,clear sky
130,Shchigry,RU,51.8755,36.9043,66.02,85,100,4.7,overcast clouds
131,Havoysund,NO,70.9963,24.6622,43.03,67,97,12.21,overcast clouds
132,Tateyama,JP,34.9833,139.8667,68.09,91,100,11.95,overcast clouds
133,Kavaratti,IN,10.5669,72.642,83.26,65,100,15.66,overcast clouds
134,Saint George,US,37.1041,-113.5841,97.63,8,0,20.71,clear sky
135,Mendi,PG,-6.1761,143.6513,52.66,96,64,3.36,broken clouds
136,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,26.46,moderate rain
137,Guerrero Negro,MX,27.9769,-114.0611,75.04,51,46,10.56,scattered clouds
138,Pangnirtung,CA,66.1451,-65.7125,35.6,93,75,16.11,broken clouds
139,New Norfolk,AU,-42.7826,147.0587,47.91,90,97,0.63,overcast clouds
140,Kutum,SD,14.2,24.6667,88.74,17,33,8.08,scattered clouds
141,San Francisco,US,37.7749,-122.4194,67.89,72,75,14.97,broken clouds
142,La Ferte-Bernard,FR,48.1863,0.6536,96.42,45,5,3.02,clear sky
143,Marsh Harbour,BS,26.5412,-77.0636,79.66,69,44,14.16,scattered clouds
144,Zambezi,ZM,-13.5432,23.1047,64.06,36,44,4.38,scattered clouds
145,Langxiang,CN,46.95,128.8833,52.27,96,0,3.94,clear sky
146,Lavrentiya,RU,65.5833,-171.0,45.79,61,17,1.32,few clouds
147,Shebunino,RU,46.4339,141.8603,54.36,99,89,5.39,overcast clouds
148,Faya,SA,18.3851,42.4509,75.72,54,89,3.83,overcast clouds
149,Jardim,BR,-21.4803,-56.1381,75.06,87,55,9.19,moderate rain
150,Flin Flon,CA,54.7682,-101.865,55.24,58,75,8.05,broken clouds
151,Chokurdakh,RU,70.6333,147.9167,36.93,73,98,9.62,overcast clouds
152,Birao,CF,10.2849,22.7882,78.66,67,88,5.73,overcast clouds
153,Kenai,US,60.5544,-151.2583,56.08,79,0,4.61,clear sky
154,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,66,75,3.44,broken clouds
155,Bayanday,RU,53.0661,105.5139,60.01,94,91,4.72,light rain
156,Hirara,JP,24.8,125.2833,81.54,84,99,10.67,overcast clouds
157,Tasiilaq,GL,65.6145,-37.6368,38.39,84,60,8.34,broken clouds
158,Leningradskiy,RU,69.3833,178.4167,36.32,75,51,4.12,broken clouds
159,Erbaa,TR,40.6689,36.5675,65.59,88,40,4.18,scattered clouds
160,Pisco,PE,-13.7,-76.2167,67.01,72,0,11.5,haze
161,Geraldton,AU,-28.7667,114.6,64.81,72,40,16.11,scattered clouds
162,Nanga Eboko,CM,4.6833,12.3667,69.82,96,99,3.85,overcast clouds
163,Ribeira Grande,PT,38.5167,-28.7,70.2,83,40,5.75,scattered clouds
164,Asau,RO,46.4333,26.4,65.28,91,88,3.31,overcast clouds
165,Atasu,KZ,48.6814,71.6433,68.47,47,46,9.55,scattered clouds
166,Rudnyy,KZ,52.9594,63.1206,64.63,65,13,3.53,few clouds
167,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,20,5.75,few clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,88.61,63,66,3.02,broken clouds
169,Bilibino,RU,68.0546,166.4372,53.67,44,36,2.44,scattered clouds
170,Robertsport,LR,6.7533,-11.3686,76.19,91,100,19.82,heavy intensity rain
171,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,18.41,scattered clouds
172,Kaitangata,NZ,-46.2817,169.8464,36.95,93,13,7.31,few clouds
173,Katsuura,JP,35.1333,140.3,71.42,89,100,11.18,overcast clouds
174,Altamont,US,42.2068,-121.7372,58.77,75,70,7.36,broken clouds
175,Kodiak,US,57.79,-152.4072,47.71,93,100,10.36,mist
176,Yandyki,RU,45.7691,47.1258,70.61,50,47,10.67,scattered clouds
177,San Cristobal,VE,7.7669,-72.225,78.98,75,100,6.02,overcast clouds
178,Magadan,RU,59.5667,150.8,45.54,91,100,2.57,overcast clouds
179,Tual,ID,-5.6667,132.75,81.93,76,34,16.53,scattered clouds
