City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Puerto Carreno,CO,87.78,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
231,Digha,IN,84.38,overcast clouds,21.6833,87.55,Khoniker Atithi
232,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
237,Kandrian,PG,75.47,moderate rain,-6.2167,149.55,Kandrian Station
238,Puerto Maldonado,PE,86.4,scattered clouds,-12.6,-69.1833,Wasai Hotel
239,Sola,VU,81.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
240,Vao,NC,75.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
242,Kayan,MM,80.74,overcast clouds,16.9056,96.5631,ဖြိုးရတနာ ရွှေဆိုင်
244,Salalah,OM,83.25,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
245,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
246,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
247,Marzuq,YE,82.92,overcast clouds,14.4,46.4667,
254,Kismayo,SO,77.79,scattered clouds,-0.3582,42.5454,Agan-Hotel
256,Teacapan,MX,86.45,broken clouds,22.55,-105.75,Hotel los Mangos
258,Guaruja,BR,89.46,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
263,Mandiana,GN,81.73,light rain,10.6333,-8.6833,Motels rouzo
266,Huilong,CN,75.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
272,Faanui,PF,79.9,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
281,Bethel,US,89.15,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
282,Jaisalmer,IN,89.58,clear sky,26.9147,70.9181,Hotel Fifu
283,Hami,CN,79.81,overcast clouds,42.8,93.45,Laoyutang Resort
284,Shache,CN,78.89,overcast clouds,38.4167,77.2406,Delong Hotel
285,Awjilah,LY,89.38,clear sky,29.1081,21.2869,المنزل
286,Magway,MM,80.91,overcast clouds,20.15,94.9167,Htein Htein Thar 2
288,Umm Lajj,SA,88.07,clear sky,25.0213,37.2685,Moon light Furnished Units
290,Sabzevar,IR,83.48,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
291,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
292,Davila,PH,82.04,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
296,Bonfim,BR,85.91,few clouds,3.0833,-59.95,
298,Terra Nova,BR,83.23,scattered clouds,-12.3667,-40.6667,
300,Broome,US,82.53,clear sky,42.2506,-75.833,Chenango Valley State Park
305,Carbondale,US,81.05,scattered clouds,37.7273,-89.2168,Best Western Saluki Inn
307,Surt,LY,76.84,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
309,Rapid Valley,US,84.76,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
311,Namatanai,PG,78.91,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
313,Santa Rita,BR,84.87,scattered clouds,-7.1139,-34.9781,Infinity Motel
317,Indianola,US,85.87,scattered clouds,41.3581,-93.5574,Quality Inn Indianola
320,Nouakchott,MR,85.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN
321,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Hotel Gaudi
324,Valente,BR,83.23,broken clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
325,Bandarbeyla,SO,77.97,scattered clouds,9.4942,50.8122,JABIR HOTEL
334,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
337,Kloulklubed,PW,82.81,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
339,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
344,Lamont,US,77.54,overcast clouds,35.2597,-118.9143,Buena Vista Mobile Home Park
346,Fuyang,CN,81.55,scattered clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
348,Dibulla,CO,88.52,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
349,Obidos,BR,87.17,clear sky,-1.9175,-55.5181,Hotel Amazônia Center
354,Tiarei,PF,75.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
360,Vung Tau,VN,83.61,overcast clouds,10.346,107.0843,Seaside Resort
366,Caravelas,BR,76.06,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
367,Touros,BR,82.18,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
368,Jieshi,CN,79.63,overcast clouds,22.8134,115.8257,Yuehai Hotel
376,Savelugu,GH,83.89,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
377,Acapulco,MX,82.69,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
378,Fare,PF,80.11,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
388,Coari,BR,89.46,scattered clouds,-4.085,-63.1414,Dellrey Hotel Center
391,Tautira,PF,78.64,scattered clouds,-17.7333,-149.15,Pension Oaoa
392,Muisne,EC,76.05,overcast clouds,0.6,-80.0333,Quinta Samay
393,Saravena,CO,77.65,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
396,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
397,Garissa,KE,79.25,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
398,Mathbaria,BD,80.71,heavy intensity rain,22.2876,89.9593,Shikdar Hotel
399,Awbari,LY,88.97,clear sky,26.5921,12.7805,فندق أوباري
400,Dingle,PH,78.26,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
403,Eyl,SO,78.26,overcast clouds,7.9803,49.8164,Amiin Hotel
406,Havre,FR,89.35,clear sky,49.5833,0.3333,gite bois jourdain
407,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
408,Corinto,GR,81.9,clear sky,37.9407,22.9573,Ephira Hotel
410,Jalu,LY,89.44,clear sky,29.0331,21.5482,صاحبة الفخامة
412,Alghero,IT,82.49,clear sky,40.5589,8.3181,Smy Carlos V Alghero
414,Pierre,US,83.86,clear sky,44.3683,-100.351,Ramkota Hotel
416,Wanning,CN,81.01,broken clouds,18.8003,110.3967,Paradise Hotel
423,Sarangani,PH,82.81,clear sky,5.4033,125.4636,JVL Inn and Cafeteria
427,Syracuse,IT,79.97,few clouds,37.0881,15.2792,Hotel Posta
431,Dakar,SN,83.28,scattered clouds,14.6937,-17.4441,Novotel Dakar
435,Mawlaik,MM,75.67,overcast clouds,23.6333,94.4167,AKZ Guest House
436,Gloversville,US,80.42,broken clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
439,Sokoni,TZ,78.66,few clouds,-6.4333,39.55,Ujamaa Beach Resort
442,Sur,OM,89.76,few clouds,22.5667,59.5289,Sur Plaza Hotel
443,Dahanu,IN,83.82,overcast clouds,19.9667,72.7333,Pearline Beach Villas
449,Cabimas,VE,87.48,broken clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
452,Hede,CN,79.05,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
457,Road Town,VG,87.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
458,Lekoni,GA,75.79,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
462,Devarkonda,IN,85.44,overcast clouds,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
466,Buchanan,LR,77.95,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
470,Steinbach,DE,85.1,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
475,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
477,Mormugao,IN,79.86,broken clouds,15.4,73.8,Coconut Creek Resort
479,Turmalina,BR,81.88,clear sky,-17.2856,-42.73,Hotel Cristal
480,Kalianget,ID,80.49,broken clouds,-7.05,113.9333,Pesanggrahan Garam
482,Tessalit,ML,86.05,overcast clouds,20.1986,1.0114,
487,San Policarpo,PH,81.72,broken clouds,12.1791,125.5072,Agapita M. Nicart
491,Lapithos,CY,84.49,clear sky,35.3375,33.1792,Gillham Luxury Boutique & Vineyard
493,Alanya,TR,80.08,clear sky,36.5438,31.9998,Panorama Hotel
494,Goundi,TD,79.99,light rain,9.3627,17.366,
495,Tayu,ID,77.76,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
498,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
500,Puerto Escondido,MX,84.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
501,Magdalena,PH,83.35,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
503,Kumluca,TR,81.3,clear sky,36.3703,30.2869,Akkol Apart
505,Changuinola,PA,79.36,overcast clouds,9.4333,-82.5167,ApartHotel Villa Esmeralda
507,San Pedro De Macoris,DO,88.41,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
508,San Roque,ES,79.63,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
516,Sinnamary,GF,80.94,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
522,Agua Branca,BR,86.56,scattered clouds,-5.8922,-42.6361,Água branca do Piauí pi
525,Juazeiro,BR,86.18,light rain,-9.4117,-40.4986,JB Hotel
527,Ahuimanu,US,78.37,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
528,Puli,TW,78.22,overcast clouds,23.9664,120.9695,牛耳藝術渡假村木屋區
529,Am Timan,TD,88.38,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
535,Candolim,IN,80.6,broken clouds,15.5181,73.7626,Resort Terra Paraiso
536,Gat,IL,78.82,clear sky,31.61,34.7642,OlusHome
537,Laramie,US,88.09,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
542,Lincoln,US,88.27,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
543,Magadi,IN,77.16,overcast clouds,12.9667,77.2333,Gobi centre
544,Brainerd,US,79.05,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
545,La Primavera,CO,85.1,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
547,Bone,DE,76.28,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
553,Waingapu,ID,75.99,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
554,Scottsbluff,US,88.79,scattered clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
555,Sao Joao Evangelista,BR,78.04,clear sky,-18.5478,-42.7633,Hotel Maranhão
558,Tinaquillo,VE,86.07,broken clouds,9.9186,-68.3047,Hotel Los Copihues
572,Medicine Hat,CA,78.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
574,Waterloo,CA,75.52,clear sky,43.4668,-80.5164,The Walper Hotel
575,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
577,Dwarka,IN,84.76,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
581,Mayahi,NE,84.61,broken clouds,13.9553,7.6712,
584,Tecoanapa,MX,82.76,overcast clouds,16.5167,-98.75,Hotel Manglares
585,San Carlos,VE,87.4,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
594,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
595,Boyolangu,ID,75.61,overcast clouds,-8.1181,111.8935,Yos ega cv
598,Bubaque,GW,79.38,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
600,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
601,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
604,Connersville,US,85.5,broken clouds,39.6412,-85.1411,The Lodge at IOI
606,Badvel,IN,85.8,overcast clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
608,Auki,SB,76.62,moderate rain,-8.7676,160.7034,Auki Motel
609,Belluno,IT,76.19,broken clouds,46.145,12.2214,Hotel Europa Executive
612,Sidi Ali,DZ,88.18,few clouds,36.0998,0.4206,Complexe touristique haje bezine
613,Panuco,MX,86.18,few clouds,22.05,-98.1667,Hotel Plaza
615,Senador Jose Porfirio,BR,82.26,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
617,San Ignacio,BZ,80.29,moderate rain,17.1561,-89.0714,Rainforest Haven Inn
620,Choa Saidan Shah,PK,76.42,overcast clouds,32.7201,72.9849,Office RFO RM
621,Abu Samrah,SY,87.53,clear sky,35.3029,37.1841,
622,Beyneu,KZ,79.88,broken clouds,45.3167,55.2,NUR
627,Merauke,ID,77.04,scattered clouds,-8.4667,140.3333,
628,Mahibadhoo,MV,82.15,broken clouds,3.7833,72.9667,Omadhoo Inn
631,Cururupu,BR,86.0,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
632,Skegness,GB,84.22,overcast clouds,53.1436,0.3363,The Royal Hotel
634,Hambantota,LK,79.11,overcast clouds,6.1241,81.1185,Bungalow 63
635,Ha Tinh,VN,83.53,overcast clouds,18.3333,105.9,Phú Quý
637,Gusau,NG,76.96,overcast clouds,12.1628,6.6614,GUEST INN
638,Pekalongan,ID,77.02,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
639,Nurota,UZ,82.13,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
640,Yanam,IN,83.25,overcast clouds,16.7333,82.2167,The Regency Hotel
645,Samarai,PG,79.59,few clouds,-10.6167,150.6667,Nuli Sapi
646,Sabang,ID,83.41,broken clouds,5.8933,95.3214,Hotel Citra
647,Kabalo,CD,83.05,scattered clouds,-6.05,26.9167,
648,Bagado,CO,82.45,light rain,5.4116,-76.4152,Hotel San Jose
650,Humberto De Campos,BR,87.03,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
653,Mahates,CO,82.29,overcast clouds,10.2329,-75.1899,Hotel La Embajada
655,Garowe,SO,88.11,overcast clouds,8.4054,48.4845,Curubo Hotel
659,Maloh,PH,81.57,broken clouds,9.056,122.9851,Centralle District Beach Resort
661,Ajaccio,FR,78.85,clear sky,42.0,8.9167,Sole E Monte
662,Gushikawa,JP,76.23,overcast clouds,26.3544,127.8686,Kirari Guest House
664,Cockburn Town,TC,82.0,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
666,Sidhpura,IN,89.83,overcast clouds,27.6333,78.8833,Taj Hotel
667,Mashhad,IR,78.94,clear sky,36.297,59.6062,Khanye Sabz Hotel
669,San Lucas,MX,79.48,overcast clouds,16.6,-92.7167,"Posada "" El rapidin"""
673,Edd,ER,89.46,broken clouds,13.9297,41.6925,
675,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
676,Khoy,IR,78.42,clear sky,38.5504,44.9535,ترک سل
677,Najran,SA,85.17,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
680,Piacabucu,BR,77.25,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
681,Goleta,TN,86.0,clear sky,36.8181,10.305,فندق اجنحة كورال
682,Minden,DE,77.99,overcast clouds,52.2833,8.9167,Victoria Hotel Minden
683,Butterworth,MY,79.0,few clouds,5.3991,100.3638,Cititel Penang
687,Zhanaozen,KZ,84.42,broken clouds,43.3,52.8,K.korabay 28A
688,Ixtapa,MX,85.23,light rain,20.7,-105.2,hotel la terminal
692,Mahad,IN,81.52,overcast clouds,18.0833,73.4167,Hotel Saitej
693,Maragogi,BR,79.43,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
694,Puerto El Triunfo,SV,83.23,overcast clouds,13.2833,-88.55,Hotel Jardin
705,Axim,GH,75.78,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
707,Carbonia,IT,86.02,few clouds,39.1672,8.5222,Lu 'Hotel
